,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2.3892068323760896e-09,2.6123894159013616e-09,2.4662947240017274e-09,3.716461360880885e-09,2.3681776539774546e-09,2.947098787231539e-09,2.3170327878574426e-09,3.1539575395811426e-09,2.8692199727231582e-09,2.703017587535328e-09,2.929093412262773e-09,3.2867981669681967e-09,2.1114576753689107e-09,2.3261237380722832e-09,2.5917186174950757e-09,3.6983092144282637e-09
1,3.548809912601314e-09,1.95705984751271e-09,2.702084334060828e-09,2.5648732027150345e-09,3.0779829796045988e-09,2.3983197650068178e-09,2.9445761384749858e-09,2.6275861486624308e-09,3.136314985496824e-09,2.2680388678253394e-09,3.6290892513335393e-09,1.5877466008618057e-09,3.2858396004087354e-09,2.2695316737042504e-09,4.154490529373334e-09,1.988952336162697e-09
2,2.8256150752525855e-09,2.554590983194771e-09,1.8300242432545133e-09,3.331668718686842e-09,3.218213029398953e-09,3.0498616965246583e-09,2.489504824509936e-09,2.5673645431822933e-09,2.7191926488256968e-09,2.6608217851276095e-09,2.091600226350465e-09,2.6950073284126574e-09,2.8666815587996552e-09,2.4223729688799267e-09,3.348193500229968e-09,2.508872221085312e-09
3,2.3013269068172804e-09,2.2444390790354873e-09,3.601376308282056e-09,2.359705764121145e-09,2.551893141244932e-09,1.973805341393131e-09,3.113154400935514e-09,2.595007986272435e-09,2.27058394308699e-09,3.2134224170476955e-09,3.143009852379919e-09,3.121198632882738e-09,3.385393743116083e-09,2.1894337454142487e-09,2.7876025932016546e-09,2.2875459304572132e-09
4,3.6272203018938853e-09,2.6296516075774434e-09,2.7391031665047194e-09,1.0848927312068213e-09,1.9582395704986766e-09,3.5396769959561425e-09,2.765186524200658e-09,2.8337430180158663e-09,3.325789643682242e-09,2.3194248743863e-09,2.683783639767512e-09,4.190941815807037e-09,4.301576872478563e-09,3.4898144374295725e-09,1.3274067400814715e-09,4.208805304273255e-09
5,2.62933586014924e-09,3.0542566253899395e-09,2.847771130021215e-09,2.3796695725053496e-09,2.7494670984395952e-09,2.2063026960950083e-09,2.8780935412697772e-09,2.8876721014370332e-09,2.261464349118114e-09,2.9082674046776447e-09,3.4515719171679393e-09,2.3346533595258734e-09,1.8933807854892848e-09,2.5305422202137606e-09,3.988344765559759e-09,2.830826018040966e-09
6,1.5848540257934474e-09,2.4212092331055146e-09,2.9339466411926196e-09,2.146685051940267e-09,4.0913059606850766e-09,2.491205464139057e-09,2.571888479963036e-09,1.8258928813352782e-09,3.805226356234925e-09,2.796229470192202e-09,3.573636053744167e-09,2.4960375988314354e-09,4.0986631866246626e-09,3.5070231163558674e-09,2.616129313182114e-09,2.784493968732704e-09
7,2.5183555241170552e-09,3.0123523675484876e-09,2.476443272669826e-09,3.1514018061784554e-09,2.6696265198467017e-09,2.8297735266136215e-09,3.4561506989660984e-09,3.1685005730253124e-09,2.799383391760557e-09,2.437803070520772e-09,2.249839425871869e-09,2.489590311682832e-09,2.3808637283906364e-09,2.7211430886353583e-09,2.524039643958531e-09,2.9865852013699623e-09
8,2.3607320542851085e-09,2.875103266575252e-09,2.6961126664559742e-09,2.1606267885943e-09,1.9645396420742145e-09,3.6882570331187026e-09,3.1329605576502217e-09,1.8051196093438193e-09,2.2107804475979265e-09,2.770281115616058e-09,3.0479947454864487e-09,2.5463553487981017e-09,4.621595106613086e-09,2.069745930199929e-09,2.788054453972677e-09,3.3075262528825533e-09
9,3.268119774801903e-09,2.1337080990946333e-09,2.741361138092202e-09,3.165504525171059e-09,3.6445997331213675e-09,2.5811861537050618e-09,2.6141491193953925e-09,3.1889508811389078e-09,2.4798891828936576e-09,2.4652364594146547e-09,2.653999464641288e-09,2.9069973095374735e-09,2.925335973458232e-09,1.973624597084722e-09,1.9906070125585984e-09,2.580432978405156e-09
