,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1.2026805329412582e-08,1.0576656883642954e-08,9.576432979940819e-09,1.9027403652671637e-08,1.2883526245843768e-08,1.5968463884519224e-08,1.2526284898228823e-08,1.1704234026410631e-08,1.1418330281287581e-08,1.3417612798605205e-08,9.98235005766901e-09,1.3672156740085484e-08,1.1353505691147348e-08,9.512499232755545e-09,1.2695814177732245e-08,1.074501909670289e-08
1,1.0339909373158207e-08,6.970532151484576e-09,1.5722934065820482e-08,1.4019652994079479e-08,1.5256116370210293e-08,1.2225454426584292e-08,1.5125676711136293e-08,1.274375449611398e-08,1.5376622641838367e-08,5.972728978065334e-09,8.091667780263379e-09,1.612790789806695e-08,1.583990538733815e-08,1.386755776877635e-08,1.1700148405680011e-08,1.3979388313600793e-08
2,1.701696028533206e-08,4.429582034504165e-09,7.543687452482573e-09,2.7762807164322112e-08,1.1980876735151469e-08,2.5403217307484738e-08,2.6381872242353666e-09,1.0754225066023082e-08,1.6481831011105896e-08,1.1767490981640094e-08,2.290629375067965e-08,9.145324497694673e-09,2.662635623096321e-08,2.6632145377902816e-08,2.44452333930667e-08,1.863604559559917e-08
3,8.048906430246916e-09,1.6716271034056263e-08,2.2160673296411915e-08,1.0199427968871078e-08,1.5746673298622227e-08,1.475391631089451e-08,1.367119217832169e-08,1.429960327925528e-08,1.3397001730197644e-08,2.0358905672424044e-08,1.017661421798266e-08,1.5627975358256663e-08,1.35110420629303e-08,1.1359656326703771e-08,1.404888561040707e-08,3.4667801962484646e-09
4,1.1199272620388001e-08,1.1167341718021362e-08,1.1422642387515225e-08,9.938863954062072e-09,1.057720222519265e-08,9.8756922639609e-09,1.8258345946264853e-08,1.639441826739585e-08,1.3916099383948222e-08,1.5808726772092996e-08,9.453497540334865e-09,1.1510913999757122e-08,8.589057465258065e-09,1.0178789366932506e-08,1.774083457917186e-08,1.9900081582591156e-08
5,7.800359469456453e-09,1.8742165153184942e-08,7.93853605074446e-09,8.233936199530945e-09,2.2346497985381575e-08,7.693134129738155e-09,8.6342115679372e-09,8.964862630023163e-09,1.926285619902046e-08,1.7630259918632873e-08,7.525292389232163e-09,1.3228830475497944e-08,2.4255783159787825e-08,2.1393981697315212e-08,1.0766621372226837e-08,1.5384602036760953e-08
6,1.223553169893421e-08,1.0385745596863671e-08,1.33420998693623e-08,1.201561694585962e-08,9.237960618690977e-09,1.2962177997621893e-08,1.148142203533098e-08,9.803980738354312e-09,1.2328981391362959e-08,1.3705836465760513e-08,1.0644352954614078e-08,1.5104225425943696e-08,1.2240036539878929e-08,1.514588277018447e-08,1.3368567586269364e-08,1.1610714167886727e-08
7,2.310379088044101e-08,1.605881116972796e-08,8.71779537447992e-09,1.25657466654161e-08,1.1486065432109172e-08,9.139726309115304e-09,1.0543443451638268e-08,1.0145431161845408e-08,1.4489399013939419e-08,1.1150484979793873e-08,1.7827400000669513e-08,1.2702935592301401e-08,1.8240871924035673e-08,9.210339158016723e-09,1.6323962626074717e-08,1.0243859094316576e-08
8,1.6560390392328372e-08,9.798633016089298e-09,1.0636396652330404e-08,1.6697342175575614e-08,9.866467642893895e-09,1.0858290266924087e-08,1.774584212910213e-08,1.0016298901405207e-08,1.2566177431949654e-08,8.787057304004975e-09,1.8285284397734358e-08,1.2322327158642565e-08,9.29031607199704e-09,1.4748907872785821e-08,1.3560455869310317e-08,1.3055821312946136e-08
9,1.9375908877350412e-08,1.0537975825286594e-08,1.0351373980199696e-08,1.0194312949352025e-08,9.340492823639579e-09,1.1293118440391936e-08,1.011160399855271e-08,1.0401783434588197e-08,1.2135012994463068e-08,1.1959211398959724e-08,2.182268055150871e-08,1.487422718327025e-08,1.1473671790440676e-08,9.432551628663077e-09,1.5747605885962912e-08,1.1989724768568522e-08
10,1.2202600707666988e-08,1.5872325676014043e-08,1.2653435632614674e-08,9.489067309687016e-09,1.1425278501064895e-08,1.1064977378794083e-08,1.0769435121460447e-08,1.0955879758967058e-08,1.3920345764972808e-08,1.6970124860904434e-08,2.1504973801711458e-08,1.4366115408392943e-08,1.073684430252797e-08,1.1677318667580039e-08,1.0837868380519922e-08,9.246792664896475e-09
11,1.1563572321904303e-08,1.1790183052085013e-08,1.1840663560747089e-08,1.48968259949811e-08,1.474997635142472e-08,1.2172867158710687e-08,1.161224183476861e-08,2.0846634640747652e-08,1.4162689687680086e-08,1.3478533844590856e-08,1.1490755014165188e-08,1.3315203162278522e-08,8.564748021910873e-09,6.832373777854173e-09,1.2152477246729632e-08,1.0273817352413062e-08
12,1.0132647609850665e-08,1.205284672067819e-08,1.0962777352574449e-08,1.1683915168703152e-08,1.266369586971905e-08,1.0882383882915292e-08,1.1046463299635434e-08,1.5158686750282868e-08,9.85762582672578e-09,1.1856730708359464e-08,1.8462507966887642e-08,9.055775684885248e-09,1.4709464757345359e-08,1.1563021651284089e-08,1.157107565319393e-08,1.265848048603857e-08
13,9.851123472515155e-09,1.384665004877661e-08,1.3151544742129317e-08,1.4041116713769952e-08,1.2172380436936692e-08,1.212973721465005e-08,1.2389492987097128e-08,1.302068319830596e-08,1.595488541283885e-08,9.649093968278066e-09,1.5022772359429837e-08,1.1358811669026636e-08,1.019026907300713e-08,9.744862694560652e-09,1.120839865365042e-08,1.1301586333445357e-08
14,1.9789140992543253e-08,1.8920172095704402e-08,9.071748685585135e-09,1.4835409345437256e-08,7.962101200575944e-09,1.343815370091761e-08,1.0060912103426745e-08,2.1371345582110735e-08,1.3403928633692885e-08,6.86182266562696e-09,1.90830817814458e-08,1.4353545019218927e-08,8.709153398456237e-09,1.717337383411177e-08,1.8714766625294033e-08,7.49601181126991e-09
15,1.5665730046521276e-08,1.1524468490620166e-08,1.1870444183159634e-08,1.0825183416329764e-08,1.1261134247320115e-08,9.436761594372456e-09,1.569492091846314e-08,8.306528798129875e-09,9.793793331880352e-09,1.6180347728322886e-08,8.928192407609004e-09,1.4173555662466697e-08,1.722408704551981e-08,1.5158107657953224e-08,1.5655484020271615e-08,1.3236100215863189e-08
16,1.4585086915985812e-08,1.1306652503151327e-08,8.940410189950398e-09,1.186684528420301e-08,1.2398120752266095e-08,1.8151952829725815e-08,1.2384082204164315e-08,1.0846782139140032e-08,1.5932535291085514e-08,1.0330782451717369e-08,1.0883441703413155e-08,1.3986721114633838e-08,1.695902618337186e-08,1.863945797708766e-08,1.920460057647233e-08,5.12308018230101e-09
