,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1.825587446546706e-06,1.8169534996559378e-06,2.0275106180633884e-06,1.5925446632536477e-06,1.1492462590467767e-06,9.65665208241262e-07,1.8576533875602763e-06,1.1263646229053847e-06,1.5274307543222676e-06,1.7051486338459654e-06,1.8447921092956676e-06,9.889179182209773e-07,1.0563300065769e-06,9.69920961324533e-07,2.0494508135016076e-06,9.49903721902956e-07
1,1.467899210183532e-06,1.4076896377446246e-06,1.4467603932644124e-06,1.2474508821469499e-06,1.6645359437461593e-06,1.5470930065930588e-06,1.4419105127672083e-06,1.534469447506126e-06,1.3609487723442726e-06,1.2438396197467227e-06,1.3099219131618156e-06,1.5380766171801952e-06,1.2453613180696266e-06,1.4718872307639685e-06,1.2702181493295939e-06,1.2701648302027024e-06
2,1.3440291013466776e-06,1.383591325065936e-06,1.436360321349639e-06,1.3608267863673973e-06,2.093171588057885e-06,1.5721020645287354e-06,1.195234403894574e-06,1.5325784943343024e-06,1.2628935337488656e-06,1.3256523061500047e-06,1.6356835885744658e-06,1.0469867675055866e-06,1.6445080746052554e-06,1.7886903833641554e-06,1.2836512723879423e-06,1.0967022490149247e-06
3,1.4010679478815291e-06,1.5419523151649628e-06,1.2696960993707762e-06,1.5644432096451055e-06,1.388229293297627e-06,1.913045934998081e-06,1.2700546676569502e-06,1.3001506431464804e-06,1.3629957038574503e-06,1.4118089666226297e-06,1.1622411193457083e-06,1.415760721101833e-06,1.2393022643664153e-06,1.0056375003841822e-06,1.7990131482292782e-06,1.4600568647438195e-06
4,1.7430998013878707e-06,9.214776355292997e-07,9.432218348592869e-07,1.6650263887640904e-06,1.4743021665708511e-06,1.668598201831628e-06,1.3152055089449277e-06,1.4222171103028813e-06,1.8828537804438383e-06,1.0247074442304438e-06,1.651969796512276e-06,1.2866049701187876e-06,1.4008035122969886e-06,1.3028887906330056e-06,1.6597455214650836e-06,1.6591219491601805e-06
5,1.455126266591833e-06,1.5074818975335802e-06,1.0725914307840867e-06,1.430502493349195e-06,1.486908558945288e-06,1.5110673530216445e-06,1.1390072813810548e-06,1.4951373259464162e-06,1.3809153642796446e-06,1.366624701404362e-06,8.447555615020974e-07,1.9849417185469065e-06,1.328151483903639e-06,1.8345284615861601e-06,1.28669216792332e-06,1.8145101421396248e-06
6,1.3703649983654032e-06,1.4557871281795087e-06,1.3861615570931463e-06,1.287602913180308e-06,1.26135046230047e-06,1.3848534763383213e-06,1.3670901353179943e-06,1.3484906276062247e-06,1.3588012279797113e-06,1.5266181208062335e-06,1.392478907291661e-06,1.495861852163216e-06,1.4369494465427124e-06,1.3894808716941043e-06,1.4924178231012775e-06,1.1694793329297681e-06
7,1.1489833013911266e-06,1.1995978184131673e-06,1.8921399487226154e-06,1.7111320858020918e-06,1.4257180964705185e-06,1.5633170278306352e-06,1.2429893558874028e-06,1.3115868569002487e-06,1.6798129536255146e-06,1.6159582401087391e-06,1.4437212030316005e-06,1.2199270713608712e-06,1.7275023083129781e-06,1.0203874580838601e-06,9.255597888113698e-07,1.8999822941623279e-06
8,1.14972760911769e-06,1.1346457995387027e-06,7.732295443929615e-07,1.999271944441716e-06,1.1143022220494458e-06,2.0507275166892214e-06,9.798943665373372e-07,1.7071255342671066e-06,1.3046607136857347e-06,1.5025302673166152e-06,1.81742143468e-06,1.4870220184093341e-06,1.385726704938861e-06,1.5261900898622116e-06,1.73063381225802e-06,1.9387814518267987e-06
9,1.2088553376088385e-06,1.5314856227632845e-06,1.6641422462271294e-06,1.3262845186545746e-06,1.636037609387131e-06,1.3365234963202965e-06,1.3990131719765486e-06,1.5945096265568282e-06,1.4732185036336887e-06,1.320032083640399e-06,1.6248159226961434e-06,1.6669521301082568e-06,8.488158869113249e-07,1.3038223869443755e-06,1.6075916846602922e-06,1.1294754358459613e-06
10,1.1508113857416902e-06,1.5891172324700165e-06,1.8148995195588213e-06,1.4508806316371192e-06,1.885068968476844e-06,1.037925017044472e-06,1.3132314506947296e-06,1.4123919527264661e-06,1.1329080962241278e-06,1.1882005992447375e-06,1.3238089877631865e-06,1.071803126251325e-06,2.058078507616301e-06,1.481655544921523e-06,1.5298842299671378e-06,1.1763596603486803e-06
11,1.3483221437127213e-06,1.5882326351857046e-06,1.5316068129322957e-06,1.3226682540334878e-06,1.341256847808836e-06,1.2100687172278413e-06,1.1713835874616052e-06,1.492201590735931e-06,1.2602563401742373e-06,1.3587492730948725e-06,1.6099698996185907e-06,1.211365429298894e-06,1.530784629721893e-06,1.3173156503398786e-06,1.382656137138838e-06,1.4561438774762792e-06
