,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1.2226730738973401e-09,1.0895524482634755e-09,8.264818829317733e-10,1.58606061617661e-09,1.4815242366239545e-09,1.7654478989825861e-09,1.2751503186692048e-09,9.743185147570443e-10,1.5600303271412486e-09,6.804927732417809e-10,1.2700578366775517e-09,1.7143320096835168e-09,1.6647346834375298e-09,2.0661208299799227e-09,1.3456433745062668e-09,1.6024596094510457e-09
1,9.992003890957335e-10,1.5186982782466885e-09,1.1087702977974345e-09,1.4098484601987593e-09,1.6007276615326305e-09,6.236827165828629e-10,1.4675575199518676e-09,1.4975191087174267e-09,1.5615783111044834e-09,2.8776103722094604e-09,9.96102533790122e-10,1.545701011629319e-09,9.35546418112665e-10,1.8367209975167498e-09,1.5759826776928776e-09,1.453262288286794e-09
2,8.739433066118352e-10,1.7278338759751932e-09,1.333385069024473e-09,1.1383335385417581e-09,9.036377202065182e-10,1.2718274211565017e-09,1.0164136199364293e-09,2.6133961661400917e-09,1.71473746313211e-09,1.6235212063619997e-09,1.9472521373131713e-09,1.4473453546770543e-09,1.1129316357383345e-09,1.8430552639614461e-09,1.0794086735543829e-09,9.80552750107222e-10
3,2.2093262774802724e-09,1.4068692877344802e-09,1.196693966143414e-09,1.2429250961787375e-09,1.4306171802758172e-09,1.6247139189573545e-09,1.3487937433609432e-09,9.871619077728155e-10,1.403679839029337e-09,1.300980101426319e-09,1.3418554045685482e-09,1.5179743018123304e-09,1.1709787584024411e-09,9.884902896217795e-10,1.3530763176561322e-09,1.116848724613817e-09
4,2.293946810283387e-09,1.2817512606844161e-09,1.1093415075436042e-09,1.475936706185621e-09,1.14533982298326e-09,2.1976676034540787e-09,1.2099505841689506e-09,8.629513770230801e-10,8.355115488356546e-10,1.27141031036615e-09,2.0163739566925187e-09,1.3405662135923535e-09,9.245359477993986e-10,1.0466019162436169e-09,1.9675807649832677e-09,1.551620387729713e-09
5,1.5811010278810045e-09,9.666588640655505e-10,1.7615291447725667e-09,1.3423802069922885e-09,1.2719754138856842e-09,1.0506300274215619e-09,1.110919023439294e-09,1.7953440956119948e-09,1.1612325545584667e-09,9.44289646476193e-10,9.381982968292846e-10,1.7693244647176698e-09,1.204619848316213e-09,2.038252011615782e-09,1.2040364261167724e-09,1.4246971380416085e-09
6,1.2327679987933493e-09,1.0413986339941061e-09,1.3557035494216052e-09,2.0908146325382404e-09,1.1269809530034536e-09,1.00378672041046e-09,1.5839172196052687e-09,1.1966962976117657e-09,1.054325737825934e-09,1.5220852356279124e-09,1.0966619834462676e-09,1.208751210235448e-09,1.2386981440570821e-09,1.2837085838768303e-09,1.457848730623823e-09,1.944101324369285e-09
7,1.7458651191404329e-09,2.5811714987611367e-09,9.183477311935917e-10,9.70666214072935e-10,2.0735588801557014e-09,9.190697647376567e-10,1.9995989308796425e-09,1.348050560068259e-09,1.4731411646096149e-09,1.265374249825868e-09,8.689221564495142e-10,1.2126629700404123e-09,9.119922039779738e-10,9.262939304477413e-10,1.812101801945687e-09,1.2472709531863302e-09
8,1.4425471928092293e-09,1.4430011630039985e-09,1.5433324618285837e-09,1.979634234317018e-09,1.4258796365851367e-09,1.1794517584817754e-09,1.4771506240407462e-09,1.0985105047822685e-09,1.3195081693950783e-09,1.1820913137228217e-09,1.775771751866273e-09,1.4622598687452637e-09,1.5069859804484054e-09,1.3309051638543679e-09,5.796533253388247e-10,1.1946962308329034e-09
9,1.644524072474951e-09,1.5620639226554545e-09,1.5214989268486079e-09,1.557936779583713e-09,1.4454887287129736e-09,1.1807055333434846e-09,1.370306090819895e-09,1.167439589444541e-09,1.3094068052055263e-09,1.0988542298306925e-09,1.2184383502145124e-09,1.97146898806011e-09,8.872641510393464e-10,9.663140287941019e-10,1.4018979310748136e-09,1.0885761181356202e-09
