,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2.124023376381956e-05,2.671807123988401e-05,2.171526284655556e-05,3.8462305383291095e-05,1.4899100278853439e-05,2.964581835840363e-05,2.920882252510637e-05,2.248039163532667e-05,1.5642353901057504e-05,1.495577089372091e-05,1.4695458048663568e-05,1.9112923837383278e-05,1.4715288671141025e-05,2.2160469598020427e-05,1.5876472389209084e-05,3.4296543162781745e-05
1,1.7446529454900883e-05,2.3074138880474493e-05,1.6379422959289514e-05,1.7654823750490323e-05,2.662774386408273e-05,1.766841705830302e-05,1.7032039977493696e-05,1.551349305373151e-05,1.9884064386133105e-05,2.7366108042770065e-05,2.3980659534572624e-05,1.4328236829896923e-05,2.3343407519860193e-05,1.9979619537480175e-05,2.022959233727306e-05,1.939872709044721e-05
2,1.7536825907882303e-05,2.3284734197659418e-05,1.4605369869968854e-05,1.837901618273463e-05,1.9178272850695066e-05,2.7617186788120307e-05,1.9115950635750778e-05,2.7548274374566972e-05,1.8825694496626966e-05,2.1065983673906885e-05,2.398523429292254e-05,1.8378401364316233e-05,2.6830952265299857e-05,1.9691115085151978e-05,2.2542411898029968e-05,2.0593864974216558e-05
3,2.250360012112651e-05,9.21869468584191e-06,2.2292799258138984e-05,2.4526072593289427e-05,2.226299147878308e-05,2.75401835097e-05,2.315066558367107e-05,1.2789718311978504e-05,2.4136328647728078e-05,1.83214942808263e-05,2.2351978259393945e-05,1.1726738193829078e-05,2.157483686460182e-05,2.394526200077962e-05,2.4407889213762246e-05,1.9922748833778314e-05
4,1.3879557627660688e-05,2.0582592696882784e-05,2.018875238718465e-05,2.0727666196762584e-05,2.601078085717745e-05,1.6173493349924684e-05,2.4679065973032266e-05,2.218700865341816e-05,2.2945267119212076e-05,2.0939916794304736e-05,1.4473564078798518e-05,2.4256365577457473e-05,1.731010343064554e-05,1.68808128364617e-05,1.9745571989915334e-05,1.72998225025367e-05
5,1.8646464013727382e-05,1.7803151422413066e-05,1.9424867787165567e-05,1.8798209566739388e-05,2.4303135433001444e-05,2.3309996322495863e-05,3.155871308990754e-05,1.772769246599637e-05,1.5760526366648264e-05,2.6883126338361762e-05,2.2520367565448396e-05,1.9500503185554408e-05,1.7140675481641665e-05,1.7882837710203603e-05,1.9393308321014047e-05,1.7238706277566962e-05
6,2.4846165615599602e-05,1.4395183825399727e-05,2.1136818759259768e-05,2.0931733160978183e-05,2.0342902644188143e-05,1.5904370229691267e-05,2.0577510440489277e-05,1.7363738152198493e-05,1.976867497432977e-05,1.860143856902141e-05,2.058549944194965e-05,1.751855597831309e-05,1.9457071175565943e-05,2.1673944502254017e-05,2.2434882339439355e-05,1.937896195158828e-05
7,2.4743780159042217e-05,1.2121016879973467e-05,2.207024590461515e-05,2.2561360310646705e-05,1.7264092093682848e-05,1.2483682439778931e-05,1.7781147107598372e-05,2.087288703478407e-05,1.2051662451995071e-05,2.415587914583739e-05,2.272748861287255e-05,3.114331775577739e-05,1.4026380085851997e-05,3.132665733573958e-05,2.242795017082244e-05,3.3942051231861115e-05
8,1.7738329916028306e-05,1.960391273314599e-05,2.2292670109891333e-05,2.450140891596675e-05,2.1095736883580685e-05,1.872147731774021e-05,2.4556005882914178e-05,1.5446648831130005e-05,2.4996035790536553e-05,1.5668736523366533e-05,2.0802004655706696e-05,1.9953913579229265e-05,2.9850498322048225e-05,1.5646965039195493e-05,1.9730043277377263e-05,1.6326710465364158e-05
9,2.0133418729528785e-05,1.998211519094184e-05,1.7518455933895893e-05,1.645407064643223e-05,2.1688565539079718e-05,1.8064822143060155e-05,1.7757438399712555e-05,2.7430933187133633e-05,1.6116402548504993e-05,1.962168244062923e-05,2.566987859609071e-05,2.1662828658008948e-05,1.6086629329947755e-05,1.897631045721937e-05,1.7056452634278685e-05,2.0058332665939815e-05
10,2.334817145310808e-05,3.5448621929390356e-05,2.5198227376677096e-05,2.7085903639090247e-05,2.4225551896961406e-05,1.8533623006078415e-05,2.520531415939331e-05,1.3228638636064716e-05,3.059664959437214e-05,1.7695279893814586e-05,2.784953176160343e-05,1.2664291716646403e-05,1.4815164831816219e-05,2.1934782125754282e-05,1.460587100154953e-05,2.7800733732874505e-05
11,1.774232259776909e-05,1.754866934788879e-05,1.8223023289465345e-05,2.344015592825599e-05,1.7710186511976644e-05,1.9081235222984105e-05,3.29585891449824e-05,2.4665398086654022e-05,2.8740258130710572e-05,2.2180131054483354e-05,1.4407118214876391e-05,1.4986897440394387e-05,1.7119878975790925e-05,1.4746489796380047e-05,2.013916127907578e-05,1.9051944036618806e-05
12,1.6925787349464372e-05,1.96215132746147e-05,1.9060284103034064e-05,1.6184461856028065e-05,1.6462419807794504e-05,1.677083309914451e-05,2.8218193619977683e-05,2.5762776203919202e-05,2.250334364362061e-05,2.2455300495494157e-05,1.8400516637484543e-05,2.085575761157088e-05,2.2187283320818096e-05,2.146870428987313e-05,1.6897354726097547e-05,1.40071442729095e-05
13,1.6086429241113365e-05,2.334318560315296e-05,1.9743576558539644e-05,2.1202711650403216e-05,1.7452872270951048e-05,2.949070585600566e-05,2.0425168258952908e-05,2.8317914257058874e-05,1.619139402464498e-05,1.759206861606799e-05,1.7171614672406577e-05,1.7918689991347492e-05,1.318944850936532e-05,1.6296749890898354e-05,2.1057287085568532e-05,2.7974852855550125e-05
14,1.766361492627766e-05,1.674246959737502e-05,2.7148642402607948e-05,2.263827991555445e-05,2.0107916498091072e-05,2.5607849238440394e-05,1.7901438695844263e-05,1.9751805666601285e-05,2.1785786884720437e-05,2.1966348867863417e-05,2.1861918867216446e-05,1.7528314856463112e-05,1.5409790648845956e-05,1.631424493098166e-05,1.4844978977635037e-05,2.105056046275422e-05
15,1.5553638149867766e-05,1.686465839156881e-05,2.112918082275428e-05,1.705712202237919e-05,2.98887553071836e-05,2.9227661798358895e-05,2.1147061488591135e-05,1.4968555660743732e-05,1.851579872891307e-05,1.6746047549531795e-05,1.825713479775004e-05,2.3302260160562582e-05,1.7310056136921048e-05,2.301614404132124e-05,1.628781683393754e-05,2.9160759368096478e-05
16,1.884306220745202e-05,2.0794488591491245e-05,2.318679071322549e-05,1.9691584384418093e-05,1.887023427116219e-05,1.834095201047603e-05,1.590340252732858e-05,2.2790911316405982e-05,1.3319478057383094e-05,1.7317483070655726e-05,2.1739713702118024e-05,1.6796089767012745e-05,2.221465911134146e-05,2.0152512661297806e-05,2.7699772545020096e-05,2.026935362664517e-05
17,1.7906850189319812e-05,2.9295413696672767e-05,1.7545105947647244e-05,1.7262478650081903e-05,2.657426921359729e-05,1.9706425518961623e-05,3.061483221244998e-05,1.724446156003978e-05,1.9934645024477504e-05,1.5175026419456117e-05,1.621240699023474e-05,2.0834486349485815e-05,1.8849461412173696e-05,1.9666622392833233e-05,1.5197560969681945e-05,1.598227936483454e-05
18,1.962134410860017e-05,1.8885610188590363e-05,1.8996970538864844e-05,1.9089608031208627e-05,1.961767702596262e-05,1.832918314903509e-05,2.1115742129040882e-05,1.9961849829996936e-05,2.1270132492645644e-05,1.8002461729338393e-05,2.669461173354648e-05,1.860186421254184e-05,1.6902431525522843e-05,1.939212415891234e-05,1.8083817849401385e-05,1.8687711417442188e-05
19,2.4609242245787755e-05,1.4162107618176378e-05,1.9992314264527522e-05,1.4785086932533886e-05,2.199535992986057e-05,2.3236620108946227e-05,2.5531746359774843e-05,2.596874583105091e-05,1.3665238839166705e-05,2.6880099539994262e-05,1.741230698826257e-05,1.601670192030724e-05,2.746315294643864e-05,1.4776728676224593e-05,1.5879062630119734e-05,2.868108822440263e-05
20,2.1119873053976335e-05,1.9788329154835083e-05,2.0644458345486782e-05,1.76749217644101e-05,2.01694892894011e-05,1.553931724629365e-05,2.211851824540645e-05,1.4789740816922858e-05,2.3055332349031232e-05,2.521058195270598e-05,2.1583067791652866e-05,2.487812889739871e-05,2.13262319448404e-05,1.6194266208913177e-05,1.7739057511789724e-05,1.8801651094690897e-05
21,1.646981581870932e-05,2.3340648112935014e-05,1.934482133947313e-05,2.1650252165272832e-05,2.5136159820249304e-05,2.1659026970155537e-05,2.3800581402610987e-05,1.8526396161178127e-05,1.7732867490849458e-05,1.73578937392449e-05,1.5570290997857228e-05,1.5392093700938858e-05,1.938628156494815e-05,1.9748829799937084e-05,1.7584990928298794e-05,2.0381856302265078e-05
22,1.8986916984431446e-05,1.6567722923355177e-05,2.0572624634951353e-05,1.8303717297385447e-05,1.6711410353309475e-05,2.3245442207553424e-05,1.986924144148361e-05,2.257838423247449e-05,1.607353078725282e-05,2.082429637084715e-05,2.0744533685501665e-05,1.5008822629170027e-05,3.2446547265863046e-05,3.515140633680858e-05,1.8035094399238005e-05,1.5032946976134554e-05
23,1.9657398297567852e-05,2.5839572117547505e-05,1.383201470162021e-05,2.2098021872807294e-05,2.8178288630442694e-05,1.4927258234820329e-05,1.6575877452851273e-05,2.045210567303002e-05,1.9828790755127557e-05,2.801225309667643e-05,2.1488574930117466e-05,1.4034795640327502e-05,1.9640008758869953e-05,2.585872425697744e-05,1.3708926417166367e-05,2.0215011318214238e-05
