,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,5.961694332645706e-11,7.035117627340881e-11,6.647212641430755e-11,7.449368899514752e-11,9.506974374406951e-11,5.157104604469609e-11,1.4779642787399183e-10,1.3634514350879812e-10,1.1335210547969155e-10,9.973262493634394e-11,1.7227158588539737e-10,1.7941244323527172e-10,7.509226573887418e-11,1.3498148432322665e-10,6.347546099849666e-11,2.530367027020475e-10
1,1.212179107090705e-10,9.853406285342814e-11,6.799630997145201e-11,8.216670399630033e-11,9.383498839055093e-11,9.897047070772658e-11,8.167186371643709e-11,1.9273935225605499e-10,8.477753915547837e-11,8.823913821842666e-11,9.662805278143338e-11,1.0685065332527444e-10,1.0070559663954981e-10,1.0290573948523729e-10,1.0023341184828283e-10,8.660112904568251e-11
2,7.124280332337918e-11,1.34532454620917e-10,6.236004074233747e-11,1.196018006854871e-10,1.3158782397049151e-10,9.410187212788301e-11,1.0145576045950122e-10,1.1393561094585891e-10,9.508388520984568e-11,1.2282985739631158e-10,9.704954201383842e-11,8.47497280687115e-11,6.957176501565243e-11,1.1468409555348558e-10,9.604172318544713e-11,7.311710958912698e-11
3,8.555188502068489e-11,1.040169408939029e-10,8.707499998816814e-11,1.2285071571138673e-10,9.762861352680119e-11,1.1717356251939037e-10,8.91671320113474e-11,1.3554855848862957e-10,8.02870409044587e-11,1.2156707585031512e-10,6.190815221573942e-11,9.556570118585128e-11,1.4659005953543414e-10,9.546478191291285e-11,8.984522154031893e-11,1.0174818626529358e-10
4,1.1433769903090862e-10,7.45201192420275e-11,6.354899245719636e-11,1.228078472248484e-10,8.002835893972104e-11,1.352079975758258e-10,9.686203228387313e-11,1.1385305198619022e-10,9.586857696586293e-11,7.852029443311537e-11,1.1699044510926626e-10,8.993678024538099e-11,9.60521662207725e-11,9.69648042414839e-11,8.860782246822296e-11,1.1458003296160868e-10
5,1.3243232899196045e-10,2.0310637893761196e-10,4.4011547878364254e-11,6.341314279234567e-11,2.5483992693864366e-10,7.735383167339904e-11,7.132642393381516e-11,8.523411837435546e-11,1.3243965646392297e-10,1.726245119071379e-10,1.4854678598297255e-10,1.108190483822824e-10,8.633575798722148e-11,4.4406936461349744e-11,1.2894477152691763e-10,6.249208789332883e-11
6,6.932181217944589e-11,1.0057410460007077e-10,6.500094212880114e-11,1.0058503335796942e-10,7.951909963832549e-11,1.0254484067440117e-10,1.2216863631842045e-10,6.251652667765839e-11,1.5291322374988425e-10,8.436830400970763e-11,2.1380781867197385e-10,1.1669315513884726e-10,9.121449429105866e-11,1.098451260506117e-10,1.0094636238022758e-10,1.14365183989662e-10
7,7.91547036249618e-11,9.174508375231483e-11,1.2735940080332853e-10,1.4924939062410658e-10,8.537794776719565e-11,1.486734763078701e-10,1.0201188505032377e-10,1.524103621086681e-10,1.021399909095777e-10,4.5947044780003665e-11,1.495714108123991e-10,1.168887348024228e-10,7.803030444009096e-11,1.232969698561348e-10,1.198454530060289e-10,9.231434366929747e-11
8,7.492559350730232e-11,1.304323732354007e-10,1.053151454932788e-10,7.282052044699228e-11,1.0827855972950218e-10,5.98734534174028e-11,1.23680177210872e-10,1.2498947710160024e-10,1.2602481558321443e-10,9.77051842210308e-11,1.0655189230934781e-10,7.360361625741163e-11,9.566930581073052e-11,8.829351832995158e-11,1.0111363135667517e-10,1.1545556177772198e-10
9,9.625775870825137e-11,8.129125844691387e-11,7.736785517797884e-11,1.3573146773193656e-10,1.0276550443943933e-10,7.59177443132586e-11,2.5326221675392446e-10,8.865397305157785e-11,6.91497414884168e-11,8.357964320637734e-11,6.413947151173716e-11,1.0429347663265531e-10,1.153490289396153e-10,9.226381464388922e-11,1.540808036715191e-10,8.279898294771826e-11
